Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry,Reason
b-collection-utsunomiya.com,GoDaddy Auctions,Questionable Majestic topics: adult.,9.00,2.00,7.00,12.00,11.00,13.00,100.00,35.00,66.00,262.00,79.00,185.00,80.00,nan,7.00,56.49%,2.62,2.257142857142857,3.00,1.0,,Adult/Regional: 11,nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
rocktheshores.com,GoDaddy Auctions,,30.00,4.00,27.00,0.00,12.00,18.00,210.00,81.00,169.00,793.00,207.00,911.00,212.00,16.00,26.00,91.81%,3.776190476190476,2.5555555555555554,13.00,0.0,,"Business/Transportation and Logistics: 12
Society/Genealogy: 9
Society/People: 9
Business: 8
Regional/Europe: 8",nan%,2025-05-01,Low Authority Score (AS<5).
tandiversity.com,GoDaddy Auctions,Questionable Majestic topics: adult.,17.00,2.00,2.00,4.00,11.00,16.00,115.00,28.00,137.00,253.00,852.00,860.00,96.00,nan,15.00,80.24%,2.2,30.428571428571427,12.00,0.0,,"Business/Investing: 11
Adult/Computers: 8
Adult/Image Galleries: 8
Recreation/Pets: 8
Business: 7
Computers/Multimedia: 7
Business/Transportation and Logistics: 7",nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
catalogwebdirectory.com,GoDaddy Auctions,,16.00,2.00,2.00,1.00,19.00,21.00,786.00,140.00,234.00,7912.00,1054.00,1124.00,696.00,4.00,14.00,76.09%,10.06615776081425,7.5285714285714285,15.00,1.0,,Business: 19,nan%,2025-05-01,Low Authority Score (AS<5).
everettskatedeck.com,GoDaddy Auctions,,22.00,4.00,11.00,9.00,15.00,15.00,114.00,25.00,69.00,249.00,58.00,266.00,125.00,7.00,18.00,52.61%,2.1842105263157894,2.32,22.00,1.0,,Recreation/Travel: 15,nan%,2025-05-01,Low Authority Score (AS<5).
nuttybirder.com,GoDaddy Auctions,,21.00,4.00,8.00,19.00,15.00,17.00,131.00,158.00,79.00,881.00,241.00,12278.00,175.00,12.00,17.00,71.09%,6.7251908396946565,1.5253164556962024,15.00,0.0,,"Recreation/Birding: 15
Society/People: 13
Home/Gardening: 11",nan%,2025-05-01,Low Authority Score (AS<5).
1-800rentnow.com,GoDaddy Auctions,Questionable Majestic topics: adult.,15.00,3.00,10.00,0.00,11.00,21.00,851.00,127.00,1527.00,14138.00,1014.00,389819.00,349.00,20.00,12.00,86.73%,16.613396004700352,7.984251968503937,14.00,0.0,,"Computers/Hardware: 11
Regional/Europe: 8
Business/Energy: 8
Home/Family: 8
Recreation/Travel: 8
Business: 8
Adult/Regional: 7
Society/Organizations: 7",nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
fibersjekken.net,GoDaddy Auctions,High spam score (SZ: 29.0).,7.00,2.00,0.00,0.00,13.00,15.00,72.00,30.00,57.00,75.00,33.00,66.00,68.00,29.00,7.00,86.67%,1.0416666666666667,1.1,9.00,0.0,,Recreation/Travel: 13,nan%,2025-05-01,Low Authority Score (AS<5).
undergroundworldnews.com,GoDaddy Auctions,,36.00,4.00,20.00,14.00,20.00,22.00,426.00,129.00,486.00,6702.00,5048.00,17270.00,366.00,nan,32.00,21.79%,15.732394366197184,39.13178294573643,12.00,0.0,,"Society/Issues: 19
Home/Consumer Information: 19
Health/Alternative: 15
Society/Politics: 14
Health/Conditions and Diseases: 14
Science/Social Sciences: 14
Science/Anomalies and Alternative Science: 13",nan%,2025-05-01,Low Authority Score (AS<5).
kkpmc.net,GoDaddy Auctions,,25.00,4.00,1.00,0.00,13.00,19.00,84.00,168.00,99.00,464.00,228.00,1304.00,85.00,6.00,24.00,93.75%,5.523809523809524,1.3571428571428572,13.00,0.0,,"Business/Business Services: 13
Arts: 12
Health/Mental Health: 12
Recreation/Pets: 11
Arts/Music: 11
Games/Video Games/Roleplaying: 9
Arts/Literature: 9
Home/Gardening: 9
Home: 9
Arts/Photography: 9",nan%,2025-05-01,Low Authority Score (AS<5).
