Name,Source,Reason,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
extours.net,Namecheap Auctions,Low Authority Score (AS<5). Too many drops (>2).,12.00,2.00,0.00,42.00,18.00,20.00,153.00,69.00,299.00,2215.00,6737.00,3564.00,158.00,nan,12.00,3.66%,14.477124183006536,97.6376811594203,11.00,1.0,7.0,"Business/Real Estate: 18
Games/Video Games/Browser Based: 15
Games/Online: 14
Games/Board Games: 13",nan%,2025-05-16
tarantapeligna.net,Namecheap Auctions,Too many drops (>2).,18.00,5.00,27.00,5.00,14.00,19.00,209.00,87.00,173.00,704.00,1195.00,1519.00,262.00,nan,22.00,71.77%,3.3684210526315788,13.735632183908047,17.00,31.0,4.0,"Business/Construction and Maintenance: 14
Reference/Education: 14",nan%,2025-05-16
wahlschlepper.net,Namecheap Auctions,Low Authority Score (AS<5). Low English content (<50%).,16.00,3.00,1.00,0.00,26.00,15.00,237.00,25.00,48.00,573.00,69.00,124.00,238.00,9.00,15.00,40.49%,2.4177215189873418,2.76,14.00,1.0,1.0,Society/Politics: 26,nan%,2025-05-16
thestainlesssteelstore.com,Namecheap Auctions,Low Authority Score (AS<5). Too many drops (>2).,15.00,3.00,4.00,15.00,17.00,27.00,237.00,60.00,236.00,1361.00,556.00,2018.00,157.00,24.00,12.00,92.87%,5.742616033755274,9.266666666666667,16.00,3.0,7.0,"Society/Government: 16
Business/Industrial Goods and Services: 16
Business: 15
Sports/Organizations: 15
Sports: 14
Home/Family: 14
Business/Construction and Maintenance: 14
Recreation/Food: 12",nan%,2025-05-16
equiplinknet.com,Namecheap Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,15.00,2.00,10.00,21.00,9.00,24.00,223.00,97.00,527.00,14505.00,889.00,11501.00,216.00,nan,13.00,88.58%,65.04484304932735,9.164948453608247,8.00,0.0,1.0,"Regional/Europe: 9
Home/Family: 9
Business/Energy: 9
Recreation/Travel: 9
Business: 8
Society/Organizations: 8
Adult/Regional: 8
Adult/World: 7
Adult/Shopping: 6
Business/Real Estate: 3",nan%,2025-05-16
rajeshrana.net,Namecheap Auctions,Low Authority Score (AS<5). Too many drops (>2).,25.00,2.00,3.00,21.00,11.00,16.00,289.00,43.00,258.00,516.00,211.00,2772.00,134.00,nan,23.00,79.61%,1.7854671280276817,4.906976744186046,17.00,1.0,4.0,"Games/Puzzles: 11
Arts/Literature: 3",nan%,2025-05-16
zachstark.org,Namecheap Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,29.00,3.00,20.00,43.00,9.00,27.00,2225.00,299.00,1629.00,193703.00,3350.00,16808.00,2099.00,nan,26.00,95.00%,87.05752808988764,11.20401337792642,10.00,6.0,1.0,"Regional/Europe: 9
Home/Family: 8
Business/Energy: 8
Recreation/Travel: 8
Business: 8
Adult/Regional: 8
Society/Organizations: 8
Regional/North America: 8
Adult/World: 8
Computers/Internet/E-mail: 8",nan%,2025-05-16
comiteolimpicovenezolano.org,Namecheap Auctions,Low Authority Score (AS<5). Too many drops (>2).,20.00,3.00,6.00,8.00,15.00,16.00,121.00,36.00,69.00,343.00,109.00,457.00,114.00,nan,17.00,57.73%,2.834710743801653,3.0277777777777777,16.00,0.0,7.0,"Society/History: 15
Reference/Flags: 14
Society/Government: 14
Regional/Caribbean: 14
Society: 14
Regional/Asia: 13
Regional/Africa: 13
Shopping/Home and Garden: 11",nan%,2025-05-16
ayamkampung.org,Namecheap Auctions,Low Authority Score (AS<5). Too many drops (>2).,11.00,2.00,1.00,54.00,11.00,19.00,529.00,82.00,1600.00,1842.00,448.00,21369.00,529.00,nan,10.00,20.45%,3.4820415879017013,5.463414634146342,13.00,1.0,5.0,"Society/People: 11
Sports/Football: 9",nan%,2025-05-16
duoda.org,Namecheap Auctions,Too many drops (>2).,8.00,5.00,0.00,0.00,17.00,16.00,104.00,43.00,21.00,144.00,47.00,26.00,99.00,16.00,8.00,61.81%,1.3846153846153846,1.0930232558139534,3.00,2.0,3.0,"Games/Video Games/Browser Based: 17
Games/Online: 16
Games/Board Games: 16
Society/Organizations: 15
Games/Video Games/Developers and Publishers: 14",nan%,2025-05-16
inetalatam.org,Namecheap Auctions,Low English content (<50%). Too many drops (>2).,18.00,5.00,3.00,19.00,13.00,13.00,138.00,26.00,36.00,599.00,219.00,3383.00,126.00,nan,15.00,86.81%,4.340579710144928,8.423076923076923,20.00,0.0,7.0,"Computers/Software/Editors: 13
Computers/Software/Backup: 13",nan%,2025-05-16
