Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,SZ Score,Indexed
giverespect.org,casino,snapshot < text : badword  in (8 win gmw sports cmd sports wbet sport sbo sports saba sports united gaming bti sports beter esport casino pragmatic we playtech allbet beter microgaming evo sa ae ag 568win n2live opus wm dream gamin),1,,12.0,–,1
composers-now.org,roulette,snapshot < text : badword  in ( miller theatre at columbia university composer portraits: benet casablancas 8:30 pm • presented by roulette interpretations: thomas buckner premieres 9:00 pm & 10:30 pm • presented by the jazz galler),1,,10.0,–,1
planetcrap.com,porn,anchors : badword  in (planetcrap.com \everquest player banned over 'child porn' claim\ october 5 2000),1,,20.0,–,1
guru-office.com, buy now,snapshot < text : badword  in (sale! ds listed by domain seller get this domain pay the full usd $3488 now or select lease to own buy now usd $3488 lease to own usd $117 /month pick the price that matches your budget. usd $117 m),0,snapshot < text : badword [ buy now] in (sale! ds listed by domain seller get this domain pay the full usd $3488 now or select lease to own buy now usd $3488 lease to own usd $117 /month pick the price that matches your budget. usd $117 m),32.0,–,1
humanbusinessworks.com,,archive.org snapshots with status 403 during latest year,1,,45.0,–,0
bymystique.com,hydrocodone,snapshot < text : badword  in (io williams of being mentally unstable with suicidal thoughts over their breakup and a pill popper (hydrocodone) erin marzouki is determined to keep her 785000 engagement ring by hook or crook. she ),1,,7.0,–,1
earthpm.com,asics,snapshot < text : badword  in (n working on this here are the members of the sustainable apparel coalition: adidas arvind mills asics avery dennison bureau veritas c&a cohesive trim columbia sportswear clariant the coca-c),0,,25.0,–,1
thedayafter-sy.org,127 | 1454,\significant increase in content (thedayafter-sy.org-2013-11-23  -> thedayafter-sy.org-2014-11-03 )\,0,,14.0,14,1
madoverbrand.com,sex | …,snapshot < text : badword  in ( weight loss supplement brands and wbest continue reading … 18 best condoms for her | enjoy your sex moments in deep feelings condom brands come in different sizes colors styles and textures. ch),1,,10.0,–,1
imocan.com,545 | 3929 | 50 | 363,\significant increase in content (imocan.com-2018-08-29  -> imocan.com-2021-05-09 )\\significant increase in outbound links (imocan.com-2018-08-29  -> imocan.com-2021-05-09 )\,0,,30.0,26,1
